Year, Country, Accident_ID, Accident_Severity, Helmet_Use, Injury_Severity_Score, Road_Type, Weather_Condition, Time_of_Day, Age_of_Driver, Helmet_Law_Enforced, Traffic_Density, Alcohol_Involved, Speed_Limit
2023, Nigeria, ACC18      , Severe           , Yes       ,                     6, Urban    , Clear            , Afternoon  ,            24, Yes                , Medium         , No              , 41-60 km/h
2023, Nigeria, ACC19      , Fatal            , No        ,                    14, Urban    , Clear            , Afternoon  ,            32, Yes                , Medium         , Yes             , 41-60 km/h
2018, Nigeria, ACC20      , Minor            , Yes       ,                     2, Urban    , Clear            , Afternoon  ,            40, No                 , Medium         , Yes             , 61-80 km/h
2021, Nigeria, ACC21      , Moderate         , No        ,                    12, Rural    , Clear            , Morning    ,            31, Yes                , Low            , No              , 80+ km/h
2020, Liberia, ACC22      , Minor            , Yes       ,                    11, Urban    , Cloudy           , Evening    ,            40, Yes                , High           , No              , 41-60 km/h
2017, Nigeria, ACC23      , Fatal            , No        ,                    11, Urban    , Clear            , Afternoon  ,            36, No                 , Low            , No              , 41-60 km/h
2023, Liberia, ACC24      , Severe           , No        ,                    13, Urban    , Clear            , Evening    ,            46, No                 , Medium         , No              , 80+ km/h
2019, Nigeria, ACC25      , Severe           , No        ,                     5, Urban    , Clear            , Afternoon  ,            37, Yes                , Low            , No              , 41-60 km/h
2021, Liberia, ACC26      , Moderate         , Yes       ,                     7, Urban    , Rainy            , Afternoon  ,            46, No                 , Medium         , Yes             , 41-60 km/h
2021, Liberia, ACC27      , Moderate         , No        ,                    11, Rural    , Clear            , Morning    ,            41, Yes                , Medium         , No              , 41-60 km/h
2017, Nigeria, ACC28      , Minor            , No        ,                     7, Urban    , Clear            , Night      ,            35, Yes                , Medium         , No              , 80+ km/h
2023, Nigeria, ACC29      , Minor            , Yes       ,                    15, Urban    , Rainy            , Night      ,            27, Yes                , Low            , No              , 41-60 km/h
2019, Nigeria, ACC30      , Severe           , No        ,                     5, Urban    , Clear            , Morning    ,            58, No                 , Low            , No              , 61-80 km/h
2020, Liberia, ACC31      , Severe           , Yes       ,                    12, Urban    , Clear            , Evening    ,            25, No                 , Medium         , No              , 61-80 km/h
2016, Nigeria, ACC32      , Fatal            , Yes       ,                    15, Rural    , Clear            , Night      ,            43, Yes                , Medium         , No              , 41-60 km/h
2019, Liberia, ACC33      , Fatal            , Yes       ,                     9, Urban    , Clear            , Morning    ,            46, Yes                , High           , No              , 41-60 km/h
2017, Liberia, ACC34      , Moderate         , Yes       ,                     4, Urban    , Clear            , Morning    ,            27, Yes                , Low            , No              , 61-80 km/h
2021, Liberia, ACC35      , Severe           , Yes       ,                    11, Urban    , Clear            , Night      ,            34, No                 , Medium         , No              , 41-60 km/h
2020, Nigeria, ACC36      , Fatal            , No        ,                     3, Rural    , Foggy            , Evening    ,            19, No                 , Low            , No              , 61-80 km/h
2019, Nigeria, ACC37      , Severe           , Yes       ,                    15, Rural    , Rainy            , Morning    ,            23, Yes                , Low            , No              , 80+ km/h
2016, Liberia, ACC38      , Minor            , No        ,                     4, Urban    , Rainy            , Afternoon  ,            22, No                 , Medium         , Yes             , 61-80 km/h
2016, Liberia, ACC39      , Moderate         , Yes       ,                     5, Urban    , Clear            , Evening    ,            45, No                 , Medium         , No              , 61-80 km/h
2018, Nigeria, ACC40      , Minor            , Yes       ,                    13, Urban    , Cloudy           , Evening    ,            58, Yes                , Low            , No              , 61-80 km/h
2018, Liberia, ACC41      , Fatal            , Yes       ,                     6, Rural    , Clear            , Night      ,            22, Yes                , Low            , No              , 61-80 km/h
2022, Nigeria, ACC42      , Moderate         , No        ,                     3, Urban    , Clear            , Night      ,            35, Yes                , Low            , No              , 41-60 km/h
2017, Liberia, ACC43      , Minor            , Yes       ,                     2, Urban    , Rainy            , Afternoon  ,            43, Yes                , High           , No              , <=40 km/h
2023, Nigeria, ACC44      , Moderate         , No        ,                    14, Urban    , Clear            , Morning    ,            37, Yes                , High           , No              , 41-60 km/h
2019, Liberia, ACC45      , Moderate         , No        ,                    13, Urban    , Clear            , Night      ,            58, Yes                , Low            , No              , 61-80 km/h
2019, Nigeria, ACC46      , Minor            , No        ,                     4, Urban    , Rainy            , Night      ,            44, No                 , Low            , No              , 41-60 km/h
2023, Liberia, ACC47      , Minor            , Yes       ,                     5, Rural    , Foggy            , Evening    ,            29, Yes                , High           , Yes             , 61-80 km/h
2022, Nigeria, ACC48      , Moderate         , Yes       ,                     4, Urban    , Clear            , Night      ,            24, Yes                , High           , No              , 41-60 km/h
2021, Nigeria, ACC49      , Moderate         , No        ,                    14, Urban    , Rainy            , Night      ,            20, Yes                , Medium         , Yes             , 61-80 km/h
2021, Liberia, ACC50      , Severe           , Yes       ,                    11, Urban    , Cloudy           , Night      ,            27, Yes                , Low            , No              , <=40 km/h
2022, Liberia, ACC51      , Moderate         , No        ,                    13, Rural    , Clear            , Night      ,            51, Yes                , Low            , No              , 61-80 km/h
2021, Nigeria, ACC52      , Severe           , Yes       ,                    15, Urban    , Clear            , Evening    ,            42, Yes                , Medium         , No              , 41-60 km/h
2018, Liberia, ACC53      , Moderate         , No        ,                    12, Rural    , Clear            , Afternoon  ,            52, Yes                , Medium         , No              , 41-60 km/h
2019, Nigeria, ACC54      , Moderate         , No        ,                     3, Urban    , Clear            , Afternoon  ,            33, Yes                , Low            , No              , 41-60 km/h
2022, Liberia, ACC55      , Severe           , No        ,                     8, Urban    , Clear            , Morning    ,            19, Yes                , Medium         , Yes             , 61-80 km/h
2019, Nigeria, ACC56      , Moderate         , Yes       ,                    10, Urban    , Cloudy           , Night      ,            41, Yes                , Low            , No              , 41-60 km/h
2023, Nigeria, ACC57      , Minor            , No        ,                     4, Urban    , Rainy            , Evening    ,            27, No                 , Medium         , No              , 41-60 km/h
2016, Nigeria, ACC58      , Minor            , Yes       ,                    14, Urban    , Rainy            , Morning    ,            55, Yes                , Medium         , Yes             , 80+ km/h
2018, Nigeria, ACC59      , Severe           , Yes       ,                     2, Rural    , Clear            , Morning    ,            39, Yes                , Low            , Yes             , 61-80 km/h
2020, Nigeria, ACC60      , Moderate         , No        ,                     2, Urban    , Foggy            , Afternoon  ,            43, No                 , Medium         , No              , 80+ km/h
2018, Nigeria, ACC61      , Severe           , No        ,                     1, Urban    , Cloudy           , Evening    ,            56, Yes                , Medium         , No              , 41-60 km/h
2022, Liberia, ACC62      , Minor            , No        ,                    13, Urban    , Foggy            , Evening    ,            44, Yes                , High           , No              , 41-60 km/h
2020, Liberia, ACC63      , Minor            , No        ,                     4, Rural    , Clear            , Evening    ,            46, No                 , Medium         , No              , 61-80 km/h
2016, Liberia, ACC64      , Minor            , Yes       ,                    10, Rural    , Rainy            , Afternoon  ,            55, Yes                , Low            , No              , 41-60 km/h
2022, Nigeria, ACC65      , Minor            , Yes       ,                     9, Urban    , Clear            , Afternoon  ,            37, Yes                , Medium         , No              , 61-80 km/h
2017, Nigeria, ACC66      , Moderate         , No        ,                    14, Rural    , Clear            , Afternoon  ,            44, No                 , Low            , No              , 41-60 km/h
2019, Nigeria, ACC67      , Minor            , Yes       ,                    11, Urban    , Clear            , Afternoon  ,            58, No                 , High           , No              , 41-60 km/h
2016, Nigeria, ACC68      , Moderate         , Yes       ,                     7, Urban    , Rainy            , Afternoon  ,            37, No                 , Medium         , No              , <=40 km/h
2019, Liberia, ACC69      , Fatal            , Yes       ,                    15, Rural    , Rainy            , Night      ,            36, Yes                , Medium         , No              , 41-60 km/h
2021, Liberia, ACC70      , Minor            , Yes       ,                    12, Rural    , Clear            , Night      ,            37, Yes                , Low            , No              , <=40 km/h
2017, Nigeria, ACC71      , Moderate         , Yes       ,                    10, Urban    , Clear            , Evening    ,            52, Yes                , Medium         , No              , <=40 km/h
2017, Liberia, ACC72      , Severe           , Yes       ,                     7, Urban    , Clear            , Morning    ,            19, Yes                , High           , Yes             , 80+ km/h
2016, Liberia, ACC73      , Minor            , Yes       ,                    13, Urban    , Clear            , Evening    ,            47, Yes                , High           , No              , 41-60 km/h
2017, Nigeria, ACC74      , Moderate         , Yes       ,                    15, Rural    , Clear            , Morning    ,            51, Yes                , Low            , No              , 61-80 km/h
2020, Liberia, ACC75      , Severe           , No        ,                     7, Urban    , Clear            , Afternoon  ,            39, No                 , Low            , No              , 61-80 km/h
2017, Nigeria, ACC76      , Fatal            , Yes       ,                    15, Urban    , Rainy            , Morning    ,            20, Yes                , High           , No              , 41-60 km/h
2019, Liberia, ACC77      , Minor            , Yes       ,                     8, Urban    , Clear            , Evening    ,            23, Yes                , High           , No              , <=40 km/h
2019, Nigeria, ACC78      , Fatal            , No        ,                     1, Urban    , Clear            , Evening    ,            32, Yes                , Low            , Yes             , 61-80 km/h
2022, Nigeria, ACC79      , Moderate         , Yes       ,                    10, Urban    , Clear            , Morning    ,            44, Yes                , Medium         , No              , 61-80 km/h
2019, Nigeria, ACC80      , Minor            , No        ,                    13, Rural    , Cloudy           , Night      ,            27, Yes                , Medium         , No              , 61-80 km/h
2022, Nigeria, ACC81      , Moderate         , No        ,                    10, Urban    , Rainy            , Afternoon  ,            26, Yes                , High           , No              , 61-80 km/h
2019, Liberia, ACC82      , Fatal            , Yes       ,                     8, Urban    , Rainy            , Afternoon  ,            50, Yes                , Low            , No              , 80+ km/h
2020, Nigeria, ACC83      , Moderate         , Yes       ,                     4, Urban    , Clear            , Evening    ,            49, Yes                , Low            , No              , 41-60 km/h
2023, Nigeria, ACC84      , Minor            , No        ,                     4, Rural    , Rainy            , Night      ,            23, No                 , Medium         , No              , 41-60 km/h
2022, Nigeria, ACC85      , Moderate         , No        ,                     4, Urban    , Clear            , Morning    ,            58, No                 , Low            , No              , 61-80 km/h
2018, Liberia, ACC86      , Minor            , Yes       ,                     6, Urban    , Rainy            , Afternoon  ,            53, Yes                , Medium         , No              , <=40 km/h
2021, Nigeria, ACC87      , Minor            , No        ,                     7, Rural    , Cloudy           , Night      ,            19, Yes                , Medium         , No              , 61-80 km/h
2016, Liberia, ACC88      , Minor            , Yes       ,                     6, Rural    , Rainy            , Afternoon  ,            46, No                 , Medium         , No              , <=40 km/h
2019, Nigeria, ACC89      , Minor            , No        ,                     1, Rural    , Foggy            , Night      ,            21, No                 , Medium         , Yes             , 41-60 km/h
2017, Liberia, ACC90      , Minor            , Yes       ,                    12, Rural    , Rainy            , Night      ,            18, Yes                , Medium         , No              , 61-80 km/h
2023, Liberia, ACC91      , Minor            , No        ,                     8, Urban    , Clear            , Evening    ,            36, No                 , Low            , No              , 41-60 km/h
2019, Nigeria, ACC92      , Moderate         , No        ,                    13, Rural    , Cloudy           , Afternoon  ,            43, Yes                , Medium         , No              , 41-60 km/h
2017, Liberia, ACC93      , Minor            , No        ,                    10, Urban    , Clear            , Morning    ,            42, No                 , High           , No              , 41-60 km/h
2021, Nigeria, ACC94      , Minor            , Yes       ,                    15, Rural    , Rainy            , Evening    ,            27, No                 , Medium         , No              , 61-80 km/h
2021, Nigeria, ACC95      , Severe           , Yes       ,                    11, Rural    , Clear            , Evening    ,            32, Yes                , Low            , Yes             , 41-60 km/h
2021, Nigeria, ACC96      , Moderate         , Yes       ,                    13, Rural    , Clear            , Morning    ,            39, No                 , Low            , No              , 61-80 km/h
2017, Liberia, ACC97      , Moderate         , Yes       ,                     7, Urban    , Clear            , Evening    ,            38, Yes                , Low            , No              , <=40 km/h
2019, Liberia, ACC98      , Minor            , Yes       ,                     6, Urban    , Clear            , Night      ,            39, No                 , Medium         , No              , 61-80 km/h
2021, Nigeria, ACC99      , Minor            , No        ,                     6, Urban    , Clear            , Night      ,            53, Yes                , Medium         , Yes             , 61-80 km/h
2020, Nigeria, ACC100     , Minor            , Yes       ,                     5, Rural    , Rainy            , Afternoon  ,            51, No                 , Medium         , No              , <=40 km/h
2022, Liberia, ACC101     , Minor            , Yes       ,                     6, Rural    , Clear            , Afternoon  ,            47, Yes                , Low            , No              , 41-60 km/h
2017, Nigeria, ACC102     , Minor            , No        ,                    12, Urban    , Clear            , Morning    ,            42, Yes                , Low            , Yes             , <=40 km/h
2017, Nigeria, ACC103     , Minor            , No        ,                     9, Urban    , Rainy            , Afternoon  ,            45, Yes                , Medium         , No              , 61-80 km/h
2019, Nigeria, ACC104     , Minor            , No        ,                    10, Urban    , Clear            , Night      ,            18, No                 , Medium         , Yes             , 41-60 km/h
2017, Liberia, ACC105     , Minor            , No        ,                     9, Rural    , Rainy            , Morning    ,            21, No                 , Low            , No              , 61-80 km/h
2017, Liberia, ACC106     , Moderate         , Yes       ,                    15, Rural    , Rainy            , Morning    ,            24, No                 , Medium         , No              , <=40 km/h
2021, Liberia, ACC107     , Minor            , Yes       ,                    10, Urban    , Foggy            , Afternoon  ,            26, No                 , Low            , No              , 41-60 km/h
2019, Nigeria, ACC108     , Minor            , No        ,                     8, Urban    , Rainy            , Night      ,            53, Yes                , High           , No              , <=40 km/h
2021, Nigeria, ACC109     , Moderate         , No        ,                    10, Rural    , Clear            , Morning    ,            36, Yes                , High           , No              , 41-60 km/h
2022, Nigeria, ACC110     , Moderate         , Yes       ,                     9, Rural    , Rainy            , Night      ,            18, Yes                , Low            , Yes             , 41-60 km/h
2023, Liberia, ACC111     , Minor            , No        ,                    13, Urban    , Clear            , Night      ,            27, Yes                , Low            , Yes             , 61-80 km/h
2022, Nigeria, ACC112     , Severe           , Yes       ,                    10, Urban    , Clear            , Night      ,            53, Yes                , Medium         , No              , 61-80 km/h
2023, Nigeria, ACC113     , Moderate         , Yes       ,                     8, Urban    , Rainy            , Afternoon  ,            26, Yes                , Low            , No              , 41-60 km/h
2021, Nigeria, ACC114     , Minor            , Yes       ,                     8, Urban    , Clear            , Evening    ,            59, Yes                , Medium         , No              , 80+ km/h
2022, Nigeria, ACC115     , Severe           , Yes       ,                     1, Urban    , Rainy            , Evening    ,            49, Yes                , High           , No              , 61-80 km/h
2019, Liberia, ACC116     , Fatal            , Yes       ,                    10, Urban    , Foggy            , Morning    ,            49, Yes                , Medium         , No              , 80+ km/h
2016, Liberia, ACC117     , Minor            , Yes       ,                    11, Rural    , Foggy            , Night      ,            23, Yes                , High           , No              , 41-60 km/h
2021, Nigeria, ACC118     , Minor            , No        ,                     5, Urban    , Cloudy           , Afternoon  ,            55, No                 , Medium         , No              , 41-60 km/h
2023, Liberia, ACC119     , Severe           , Yes       ,                     4, Rural    , Clear            , Night      ,            34, No                 , Low            , No              , <=40 km/h
2020, Liberia, ACC120     , Severe           , Yes       ,                     2, Urban    , Clear            , Night      ,            27, No                 , Medium         , No              , 61-80 km/h
2023, Nigeria, ACC121     , Minor            , No        ,                     8, Urban    , Rainy            , Afternoon  ,            44, Yes                , Medium         , Yes             , <=40 km/h
2020, Nigeria, ACC122     , Minor            , No        ,                     3, Urban    , Clear            , Evening    ,            52, Yes                , Medium         , No              , 41-60 km/h
2017, Liberia, ACC123     , Minor            , No        ,                     4, Urban    , Rainy            , Night      ,            38, No                 , Low            , Yes             , 41-60 km/h
2022, Nigeria, ACC124     , Moderate         , No        ,                    12, Rural    , Rainy            , Night      ,            42, Yes                , Low            , No              , 41-60 km/h
2020, Liberia, ACC125     , Moderate         , No        ,                     7, Rural    , Rainy            , Evening    ,            45, Yes                , High           , No              , 61-80 km/h
2023, Nigeria, ACC126     , Minor            , Yes       ,                    10, Urban    , Clear            , Afternoon  ,            32, Yes                , Low            , No              , <=40 km/h
2017, Liberia, ACC127     , Moderate         , Yes       ,                     9, Urban    , Clear            , Morning    ,            21, Yes                , High           , No              , 41-60 km/h
2016, Nigeria, ACC128     , Severe           , Yes       ,                     2, Rural    , Clear            , Evening    ,            46, Yes                , High           , No              , 61-80 km/h
2019, Liberia, ACC129     , Minor            , Yes       ,                     3, Urban    , Clear            , Morning    ,            26, Yes                , Medium         , No              , 80+ km/h
2019, Liberia, ACC130     , Minor            , Yes       ,                     4, Urban    , Foggy            , Morning    ,            44, Yes                , Medium         , Yes             , 61-80 km/h
2019, Liberia, ACC131     , Severe           , No        ,                    10, Rural    , Clear            , Evening    ,            43, Yes                , Medium         , Yes             , 80+ km/h
2020, Nigeria, ACC132     , Severe           , Yes       ,                     1, Urban    , Clear            , Night      ,            36, Yes                , High           , Yes             , 61-80 km/h
2016, Liberia, ACC133     , Moderate         , Yes       ,                     7, Urban    , Clear            , Morning    ,            45, No                 , Low            , No              , 41-60 km/h
2020, Liberia, ACC134     , Moderate         , Yes       ,                     2, Urban    , Rainy            , Morning    ,            34, Yes                , Medium         , No              , <=40 km/h
2022, Nigeria, ACC135     , Minor            , No        ,                     5, Rural    , Rainy            , Afternoon  ,            58, Yes                , Medium         , No              , 61-80 km/h
2020, Nigeria, ACC136     , Moderate         , Yes       ,                    15, Urban    , Clear            , Night      ,            59, No                 , Medium         , No              , 61-80 km/h
2016, Liberia, ACC137     , Moderate         , No        ,                     1, Urban    , Clear            , Morning    ,            37, Yes                , Medium         , No              , 61-80 km/h
2016, Liberia, ACC138     , Minor            , Yes       ,                     3, Rural    , Clear            , Afternoon  ,            57, Yes                , Medium         , Yes             , 41-60 km/h
2022, Nigeria, ACC139     , Minor            , Yes       ,                    12, Urban    , Clear            , Night      ,            56, Yes                , Medium         , No              , 41-60 km/h
2016, Nigeria, ACC140     , Minor            , Yes       ,                     2, Rural    , Rainy            , Evening    ,            40, Yes                , High           , No              , 41-60 km/h
2023, Nigeria, ACC141     , Minor            , No        ,                     1, Urban    , Rainy            , Evening    ,            49, Yes                , Low            , No              , 41-60 km/h
2016, Nigeria, ACC142     , Minor            , Yes       ,                     7, Rural    , Clear            , Afternoon  ,            50, No                 , High           , No              , <=40 km/h
2019, Nigeria, ACC143     , Minor            , No        ,                     5, Urban    , Clear            , Evening    ,            22, Yes                , Medium         , Yes             , 61-80 km/h
2023, Liberia, ACC144     , Minor            , Yes       ,                     1, Urban    , Cloudy           , Morning    ,            51, Yes                , High           , Yes             , <=40 km/h
2023, Nigeria, ACC145     , Minor            , Yes       ,                     6, Urban    , Clear            , Night      ,            57, Yes                , Medium         , No              , <=40 km/h
2022, Liberia, ACC146     , Severe           , No        ,                     5, Urban    , Rainy            , Morning    ,            28, Yes                , Medium         , No              , 41-60 km/h
2018, Liberia, ACC147     , Moderate         , No        ,                    15, Rural    , Clear            , Morning    ,            20, Yes                , Low            , No              , 61-80 km/h
2018, Liberia, ACC148     , Moderate         , No        ,                     3, Rural    , Clear            , Evening    ,            50, Yes                , High           , No              , 41-60 km/h
2016, Nigeria, ACC149     , Severe           , No        ,                    12, Urban    , Clear            , Morning    ,            28, Yes                , Low            , No              , 41-60 km/h
2023, Liberia, ACC150     , Moderate         , No        ,                     7, Urban    , Rainy            , Evening    ,            33, Yes                , High           , No              , 41-60 km/h
2018, Liberia, ACC151     , Minor            , No        ,                    11, Rural    , Cloudy           , Night      ,            35, Yes                , High           , No              , 41-60 km/h
2018, Nigeria, ACC152     , Moderate         , No        ,                    10, Rural    , Clear            , Night      ,            47, Yes                , Low            , No              , 80+ km/h
2016, Liberia, ACC153     , Moderate         , No        ,                     9, Urban    , Clear            , Morning    ,            27, No                 , Low            , No              , 80+ km/h
2018, Liberia, ACC154     , Severe           , No        ,                    14, Urban    , Clear            , Afternoon  ,            35, Yes                , Medium         , No              , 41-60 km/h
2020, Nigeria, ACC155     , Moderate         , No        ,                    13, Urban    , Clear            , Evening    ,            55, Yes                , Low            , Yes             , 41-60 km/h
2017, Liberia, ACC156     , Minor            , No        ,                    13, Urban    , Clear            , Evening    ,            36, Yes                , High           , No              , 61-80 km/h
2022, Liberia, ACC157     , Minor            , Yes       ,                     9, Urban    , Clear            , Morning    ,            53, No                 , Low            , No              , <=40 km/h
2017, Liberia, ACC158     , Minor            , No        ,                    14, Urban    , Rainy            , Evening    ,            30, Yes                , Low            , No              , 41-60 km/h
2016, Nigeria, ACC159     , Moderate         , No        ,                     9, Urban    , Clear            , Evening    ,            20, Yes                , High           , No              , 41-60 km/h
2019, Nigeria, ACC160     , Moderate         , Yes       ,                     2, Rural    , Clear            , Afternoon  ,            27, No                 , Medium         , Yes             , 80+ km/h
2022, Nigeria, ACC161     , Minor            , No        ,                     3, Urban    , Cloudy           , Afternoon  ,            55, No                 , High           , No              , <=40 km/h
2016, Liberia, ACC162     , Fatal            , Yes       ,                     7, Urban    , Clear            , Morning    ,            18, Yes                , Medium         , No              , 41-60 km/h
2023, Liberia, ACC163     , Moderate         , Yes       ,                     5, Urban    , Cloudy           , Afternoon  ,            44, Yes                , Medium         , No              , 61-80 km/h
2019, Nigeria, ACC164     , Minor            , No        ,                     2, Urban    , Clear            , Morning    ,            25, No                 , Medium         , No              , 41-60 km/h
2017, Liberia, ACC165     , Minor            , Yes       ,                     3, Urban    , Foggy            , Night      ,            59, No                 , Medium         , No              , <=40 km/h
2016, Liberia, ACC166     , Minor            , No        ,                    10, Urban    , Rainy            , Morning    ,            34, No                 , Medium         , No              , 80+ km/h
2023, Nigeria, ACC167     , Minor            , No        ,                     6, Urban    , Foggy            , Night      ,            26, Yes                , Medium         , No              , 41-60 km/h
2022, Nigeria, ACC168     , Minor            , Yes       ,                    13, Urban    , Cloudy           , Morning    ,            23, Yes                , Medium         , No              , 61-80 km/h
2022, Liberia, ACC169     , Minor            , Yes       ,                     7, Urban    , Clear            , Evening    ,            42, Yes                , Low            , No              , 41-60 km/h
2021, Liberia, ACC170     , Minor            , Yes       ,                     9, Urban    , Cloudy           , Afternoon  ,            56, No                 , Medium         , No              , 41-60 km/h
2023, Liberia, ACC171     , Minor            , No        ,                     1, Rural    , Clear            , Night      ,            45, Yes                , Low            , No              , 41-60 km/h
2020, Nigeria, ACC172     , Severe           , No        ,                    11, Urban    , Clear            , Morning    ,            50, Yes                , Medium         , No              , <=40 km/h
2018, Nigeria, ACC173     , Minor            , No        ,                     7, Rural    , Clear            , Afternoon  ,            54, No                 , Low            , No              , <=40 km/h
2019, Nigeria, ACC174     , Moderate         , Yes       ,                     8, Urban    , Rainy            , Morning    ,            26, Yes                , Medium         , No              , 61-80 km/h
2023, Nigeria, ACC175     , Moderate         , No        ,                    12, Urban    , Clear            , Afternoon  ,            35, No                 , Medium         , No              , 41-60 km/h
2021, Liberia, ACC176     , Fatal            , Yes       ,                    14, Urban    , Rainy            , Afternoon  ,            38, Yes                , Low            , No              , <=40 km/h
2018, Nigeria, ACC177     , Minor            , No        ,                     3, Urban    , Rainy            , Morning    ,            19, Yes                , Low            , No              , 41-60 km/h
2018, Nigeria, ACC178     , Minor            , Yes       ,                     4, Rural    , Rainy            , Night      ,            55, Yes                , Low            , No              , 61-80 km/h
2016, Nigeria, ACC179     , Fatal            , No        ,                    10, Rural    , Foggy            , Night      ,            57, No                 , Medium         , Yes             , <=40 km/h
2018, Nigeria, ACC180     , Severe           , Yes       ,                     6, Rural    , Clear            , Evening    ,            53, Yes                , High           , No              , 41-60 km/h
2020, Nigeria, ACC181     , Severe           , No        ,                    10, Urban    , Clear            , Afternoon  ,            54, Yes                , Low            , No              , <=40 km/h
2022, Liberia, ACC182     , Minor            , Yes       ,                     7, Urban    , Clear            , Evening    ,            32, No                 , Medium         , No              , <=40 km/h
2021, Liberia, ACC183     , Minor            , No        ,                    13, Urban    , Clear            , Evening    ,            45, Yes                , Medium         , No              , <=40 km/h
2018, Nigeria, ACC184     , Moderate         , No        ,                    14, Urban    , Clear            , Morning    ,            35, Yes                , Medium         , No              , 61-80 km/h
2016, Liberia, ACC185     , Fatal            , Yes       ,                     4, Urban    , Clear            , Morning    ,            51, Yes                , High           , No              , <=40 km/h
2020, Nigeria, ACC186     , Moderate         , No        ,                     8, Urban    , Clear            , Morning    ,            39, Yes                , Medium         , No              , <=40 km/h
2017, Nigeria, ACC187     , Moderate         , No        ,                     5, Urban    , Cloudy           , Afternoon  ,            28, Yes                , Medium         , No              , 41-60 km/h
2022, Liberia, ACC188     , Minor            , Yes       ,                     1, Urban    , Rainy            , Morning    ,            30, Yes                , Low            , No              , 61-80 km/h
2022, Liberia, ACC189     , Severe           , Yes       ,                     4, Rural    , Clear            , Morning    ,            21, Yes                , Low            , No              , 41-60 km/h
2021, Nigeria, ACC190     , Minor            , No        ,                     3, Rural    , Rainy            , Afternoon  ,            39, Yes                , Low            , No              , 41-60 km/h
2022, Nigeria, ACC191     , Minor            , Yes       ,                     9, Rural    , Clear            , Afternoon  ,            24, Yes                , Low            , No              , <=40 km/h
2018, Nigeria, ACC192     , Moderate         , Yes       ,                     8, Urban    , Clear            , Night      ,            41, Yes                , Medium         , Yes             , 41-60 km/h
2016, Liberia, ACC193     , Moderate         , Yes       ,                     1, Urban    , Rainy            , Morning    ,            21, Yes                , Medium         , No              , 41-60 km/h
2022, Nigeria, ACC194     , Minor            , No        ,                    11, Urban    , Clear            , Morning    ,            45, Yes                , Medium         , No              , 41-60 km/h
2022, Nigeria, ACC195     , Minor            , Yes       ,                     6, Rural    , Clear            , Morning    ,            32, Yes                , Low            , No              , 41-60 km/h
2017, Nigeria, ACC196     , Moderate         , No        ,                     9, Urban    , Cloudy           , Night      ,            18, Yes                , Low            , No              , 41-60 km/h
2017, Liberia, ACC197     , Minor            , No        ,                     7, Urban    , Foggy            , Morning    ,            20, Yes                , Medium         , No              , <=40 km/h
